ID	Tweet ID
101	588385636681322497
102	588386306532777985
103	588386774797324289
104	588391388619890688
105	588392604800278528
106	588393903822372864
107	588394109808717824
108	588401493432119296
109	588402323078172672
110	588404846480515073
111	588411382325886976
112	588426575483432962
113	588434623228706816
114	588435520264523776
115	588441747333652482
116	588450499629834240
117	588450882456453120
118	588453395398287362
119	588466744869531648
120	588479834445193216
121	588486414314172416
122	588492191523188736
123	588506497828655104
124	588509543509790721
125	588515945666240515
126	588519327290142721
127	588532008713854977
128	588532268014112768
129	588535895596224512
130	588537400378273792
131	588538696258826240
132	588548353182420993
133	588570506657275905
134	588581233740812288
135	588595888580272130
136	588596464751747072
137	588631170721550336
138	588660923818119168
139	588670702863147008
140	588673926680727552
141	588678441249050624
142	588680344443949057
143	588698080012148736
144	588705428835422210
145	588713429210271745
146	588717513615224835
147	588723551110307840
148	588724479569874944
149	588735809873928192
150	588759657042214912
151	592545799113945088
152	592550315548782593
153	592573245842403328
154	592585625553018880
155	592587052983681024
156	592589103251726337
157	592600179892723713
158	592609434209284096
159	592642858907078656
160	592644794968604673
161	592645700032139264
162	592646578889953280
163	592646753322598401
164	592663440491184128
165	592668793979174913
166	592673183561609216
167	592689049321758721
168	592698985510473730
169	592713228049915905
170	592713655772422145
171	592718926141874177
172	592719471380459520
173	592719861555552257
174	592725998145302528
175	592729957396258816
176	592740319466237954
177	592764079086903297
178	592773254399524865
179	592800480578928640
180	592825290868584449
181	592826807608602624
182	592842984674238465
183	592846653897441281
184	592848362942144512
185	592849159792762880
186	592852871345008641
187	592857977541042176
188	592863849285550080
189	592878699327926273
190	592882047661776898
191	592889682347872258
192	592893757537841153
193	592898018120232960
194	592914591899856896
195	592928753979887616
196	592932043689951232
197	592932253212237825
198	592938824440877056
199	592940859118657536
200	592946405184032769
201	592967106943148032
202	592968169137909761
203	592971084015763456
204	592976629841833984
205	593006757753978883
206	593010438608138240
207	593021898801348608
208	593025890675601409
209	593026211070152704
210	593048933330456576
211	593052179407228928
212	593060301232279552
213	593066167104839680
214	593067623648210944
215	593082258560528385
216	593083730568224768
217	593089119259090944
218	593096169196228608
219	593096871385501696
220	593098725054095360
221	593113642826072065
222	593116187094953984
223	593119236580462592
224	593120368291905536
225	593139686870093824
226	593144056173072384
227	593156203926007808
228	593164793181274113
229	593172605743472640
230	593175825878523904
231	593176167290658817
232	593185248646692865
233	593188061804142592
234	593188787078979584
235	593192277276762112
236	593194430368186368
237	593201047272890369
238	593207590290628608
239	593225877141360640
240	593242113548095489
241	593254123568439296
242	593265651336122368
243	593268443903832064
244	593278186206691329
245	593282774913708032
246	593283621022203904
247	593287755171536896
248	593296863740067840
249	593299340346728448
250	593325489961508865
251	593332018823434241
252	593335769856507904
253	593342483842605056
254	593354889268469761
255	593377266253467648
256	593383631713767424
257	593383741931655168
258	593388034999119872
259	593396434008834048
260	593399236055695360
261	593400524894031872
262	593401268061786112
263	593401336214986752
264	593402370048032768
265	593417197764108288
266	593431843766140928
267	593435911267831808
268	593440926413893632
269	593445779827662849
270	593456661454553088
271	593456742270410752
272	593460075525775360
273	593463022380789760
274	593471530291572736
275	593476523883106304
276	593480441094656000
277	593481961160704002
278	593492157127864320
279	614110285641723905
280	614111024422125568
281	614116750292942848
282	614122170231357444
283	614146255833403392
284	614148863511908352
285	614150013074186242
286	614153593818447872
287	614155670019964928
288	614166793574158336
289	614169555418673152
290	614181946298658816
291	614190867541282818
292	614195815784054784
293	614201849478955008
294	614204063123554304
295	614217058126045184
296	614221737174110209
